COMPLAINT ID,COMPLAINT TYPE,MAPPED LOCATION,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date
DOECOMP138,Toxics Hazardous Materials Work Order,"100 S COTTAGE GROVE AVE
CHICAGO, IL
",100,,S,COTTAGE GROVE,AVE,9,06/13/2011,TANKER LEAKING FUEL AT COTTAGE GROVE AND I-94. DRIVER DIDN'T KNOW THAT HE WAS LEAKING DIESEL FUEL UNTIL HE OBSERVED WHAT HE THOUGH WAS SMOKE EMANATING FROM THE REAR OF THE TRACTOR.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP215,Air Pollution Work Order,"1000 W DIVERSEY AVE
CHICAGO, IL
",1000,,W,DIVERSEY,AVE,9,12/17/1996,RESIDENTIAL AREA                    STRONG CHEMICAL ODORS COMING AFTER CLOUD PASSED THROUGH AREA. I CANVASSED IMMEDIATE AREA & DIS- COVERED NO CLOUDS OF CHEMICAL ODORS IN THE VICINIT,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP236,Illegal Dumping Work Order,"10000 S STONY ISLAND AVE
CHICAGO, IL
",10000,,S,STONY ISLAND,AVE,10,10/26/1995,RESIDENTIAL AREA                    FLY DUMPING DEBRIS AND CONCRETE.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP237,Illegal Dumping Work Order,"10000 S STONY ISLAND AVE
CHICAGO, IL
",10000,,S,STONY ISLAND,AVE,11,10/27/1995,RESIDENTIAL AREA                    SITE MONITORED FOR A PERIOD AFTER CITING AN OFFENDER 10/26/95 FOR FLY DUMPING ENTRANCE GATE TO LOACTION WERE CLOSED COURT PENDING 1/3/96.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP238,Other,"10000 S STONY ISLAND AVE
CHICAGO, IL
",10000,,S,STONY ISLAND,AVE,62,04/07/1998,N & S SWITCH YARD                   VERY LOUD EXPLOSION FROM NORFOLK & SOUTHERN TRACK & SWITCH YARD.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP239,Air Pollution Work Order,"10000 S STONY ISLAND AVE
CHICAGO, IL
",10000,,S,STONY ISLAND,AVE,57,07/13/1998,RESIDENTIAL AREA,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP243,Toxics Hazardous Materials Work Order,"10000 W BRYN MAWR AVE
CHICAGO, IL
",10000,,W,BRYN MAWR,AVE,55,07/26/2001,VACANT LOT                          2-55 GALLON DRUMS SEALED WITH UNKNOWN CONTENTS IN THE ALLEY LINE.OBSRVD 2-55 GAL DRUMS ABANDONED.LOT IS OWNED BY CITY.HERITAGE REMOVED DRUMS ON 7/27/01,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP282,Air Pollution Work Order,"1000 N MICHIGAN AVE
CHICAGO, IL
",1000,,N,MICHIGAN,AVE,10,06/29/2000,OAK STREET BEACH                    HEADING SOUTH ON LAKE SHORE DR.(CTA BUS#7125) WAS EMITTING EMISSION/FUMES.NOTIFIED CTA SPOKE WITH TRAN.MANG.WHO REFERRED TO MAINTANCE MANGER.,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP308,Toxics Hazardous Materials Work Order,"10014 S YATES AVE
CHICAGO, IL
",10014,,S,YATES,AVE,55,01/17/2002,"GAS CYLINDER LEFT IN THE ALLEY. DISCOVERED GAS GRILL PROPANE CYLINDER IN THE RESIDENTIAL ALLEY. THERE WAS NO ANSWER AT THE HOUSE, SO INSPECTOR PICKED UP THE CYLINDER AND TRANSFERRED IT TO HOME DEPOT AT 210 W. 87TH ST., AND GAVE IT TO ONE OF THE EMPLOYEE FOR THE GAS EXCHANGE PROGRAM.",MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
DOECOMP311,Air Pollution Work Order,"10015 S YATES AVE
CHICAGO, IL
",10015,,S,YATES,AVE,17,06/07/1993,FLOODED BASEMENT,MORE INFORMATION MAY BE AVAILABLE IN THE CDPH ENVIRONMENTAL INSPECTIONS DATASET,HISTORIC DEPT. OF ENVIRONMENT,01/01/2012
